country_iso,year,fertilizer_type,unit,tonnes
BWA,2012,Ammonium nitrate (AN),t,43699
BWA,2013,Ammonium nitrate (AN),t,64455
BWA,2014,Ammonium nitrate (AN),t,60154
BWA,2012,Ammonium sulphate,t,155
BWA,2013,Ammonium sulphate,t,127
BWA,2014,Ammonium sulphate,t,292
BWA,2012,NPK fertilizers,t,886
BWA,2013,NPK fertilizers,t,1061
BWA,2014,NPK fertilizers,t,4566
BWA,2012,PK compounds,t,135
BWA,2013,PK compounds,t,3
BWA,2014,PK compounds,t,62
BWA,2013,Potassium nitrate,t,15
BWA,2014,Potassium nitrate,t,32
BWA,2012,Superphosphates above 35%,t,1
BWA,2013,Superphosphates above 35%,t,1
BWA,2014,Superphosphates above 35%,t,1
BWA,2012,Urea,t,114
BWA,2013,Urea,t,539
BWA,2014,Urea,t,414
BWA,2012,Urea and ammonium nitrate solutions (UAN),t,182
BWA,2013,Urea and ammonium nitrate solutions (UAN),t,43
BWA,2014,Urea and ammonium nitrate solutions (UAN),t,26
LSO,2016,Fertilizers n.e.c.,t,19
LSO,2017,Fertilizers n.e.c.,t,738
LSO,2018,Fertilizers n.e.c.,t,121
LSO,2020,Fertilizers n.e.c.,t,1
LSO,2017,NPK fertilizers,t,1981
LSO,2018,NPK fertilizers,t,9889
LSO,2020,NPK fertilizers,t,6
LSO,2015,Superphosphates above 35%,t,566
LSO,2016,Superphosphates above 35%,t,0
LSO,2017,Superphosphates above 35%,t,122
LSO,2018,Superphosphates above 35%,t,87
LSO,2020,Superphosphates above 35%,t,0
LSO,2015,"Superphosphates, other",t,186
LSO,2016,"Superphosphates, other",t,0
LSO,2017,"Superphosphates, other",t,167
LSO,2018,"Superphosphates, other",t,545
LSO,2020,"Superphosphates, other",t,0
LSO,2015,Urea,t,0
LSO,2016,Urea,t,1
LSO,2017,Urea,t,1
LSO,2018,Urea,t,13
LSO,2020,Urea,t,2
MWI,2013,Ammonium sulphate,t,1230
MWI,2014,Ammonium sulphate,t,527
MWI,2015,Ammonium sulphate,t,821
MWI,2016,Ammonium sulphate,t,821
MWI,2012,NPK fertilizers,t,89701
MWI,2013,NPK fertilizers,t,85971
MWI,2014,NPK fertilizers,t,179699
MWI,2015,NPK fertilizers,t,109685
MWI,2016,NPK fertilizers,t,109685
MWI,2012,Urea,t,89366
MWI,2013,Urea,t,90136
MWI,2014,Urea,t,188596
MWI,2015,Urea,t,107814
MWI,2016,Urea,t,107814
MUS,2012,Ammonium nitrate (AN),t,50
MUS,2013,Ammonium nitrate (AN),t,25
MUS,2014,Ammonium nitrate (AN),t,50
MUS,2015,Ammonium nitrate (AN),t,37
MUS,2016,Ammonium nitrate (AN),t,132
MUS,2017,Ammonium nitrate (AN),t,27
MUS,2018,Ammonium nitrate (AN),t,0
MUS,2019,Ammonium nitrate (AN),t,32
MUS,2020,Ammonium nitrate (AN),t,0
MUS,2021,Ammonium nitrate (AN),t,0
MUS,2022,Ammonium nitrate (AN),t,0
MUS,2012,Ammonium sulphate,t,5973
MUS,2013,Ammonium sulphate,t,5856
MUS,2014,Ammonium sulphate,t,5422
