Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","01701","Beans, dry","2013","2013","7021","Annual value","USD","1528","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","01701","Beans, dry","2014","2014","7021","Annual value","USD","1460.1","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","01212","Cabbages","2013","2013","7021","Annual value","USD","449.1","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","01212","Cabbages","2014","2014","7021","Annual value","USD","441","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2013","2013","7021","Annual value","USD","387.7","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2014","2014","7021","Annual value","USD","384.8","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","0118","Millet","2013","2013","7021","Annual value","USD","282.8","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","0118","Millet","2014","2014","7021","Annual value","USD","251.4","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","01510","Potatoes","2013","2013","7021","Annual value","USD","445.5","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","01510","Potatoes","2014","2014","7021","Annual value","USD","422.2","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2013","2013","7021","Annual value","USD","518","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2014","2014","7021","Annual value","USD","508.6","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","0113","Rice","2013","2013","7021","Annual value","USD","430","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","0113","Rice","2014","2014","7021","Annual value","USD","422.2","A","Official figure"
"PP","Producer Prices","024","Angola","5532","Producer Price (USD/tonne)","0114","Sorghum","2013","2013","7021","Annual value","USD","314","A","Official figure"
