Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2012","2012","t","43699","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2013","2013","t","64455","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2014","2014","t","60154","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4002","Ammonium sulphate","2012","2012","t","155","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4002","Ammonium sulphate","2013","2013","t","127","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4002","Ammonium sulphate","2014","2014","t","292","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","886","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","1061","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","4566","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4027","PK compounds","2012","2012","t","135","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4027","PK compounds","2013","2013","t","3","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4027","PK compounds","2014","2014","t","62","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4025","Potassium nitrate","2013","2013","t","15","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4025","Potassium nitrate","2014","2014","t","32","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4012","Superphosphates above 35%","2012","2012","t","1","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4012","Superphosphates above 35%","2013","2013","t","1","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4012","Superphosphates above 35%","2014","2014","t","1","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4001","Urea","2012","2012","t","114","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4001","Urea","2013","2013","t","539","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4001","Urea","2014","2014","t","414","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2012","2012","t","182","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2013","2013","t","43","A","Official figure"
"RFB","Fertilizers by Product","072","Botswana","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2014","2014","t","26","A","Official figure"
"RFB","Fertilizers by Product","426","Lesotho","5157","Agricultural Use","4030","Fertilizers n.e.c.","2016","2016","t","19","A","Official figure"
"RFB","Fertilizers by Product","426","Lesotho","5157","Agricultural Use","4030","Fertilizers n.e.c.","2017","2017","t","738","A","Official figure"
"RFB","Fertilizers by Product","426","Lesotho","5157","Agricultural Use","4030","Fertilizers n.e.c.","2018","2018","t","121","A","Official figure"
