country_iso,year,variable,value
DZA,2003,"Value US$, 2015 prices",9359.169847
DZA,2003,"Share of Total US$, 2015 prices",8.311209
DZA,2003,"Annual growth US$, 2015 prices",19.5
DZA,2004,"Value US$, 2015 prices",9864.565019
DZA,2004,"Share of Total US$, 2015 prices",8.398863
DZA,2004,"Annual growth US$, 2015 prices",5.4
DZA,2005,"Value US$, 2015 prices",10091.450014
DZA,2005,"Share of Total US$, 2015 prices",8.113349
DZA,2005,"Annual growth US$, 2015 prices",2.3
DZA,2006,"Value US$, 2015 prices",10908.857465
DZA,2006,"Share of Total US$, 2015 prices",8.623924
DZA,2006,"Annual growth US$, 2015 prices",8.1
DZA,2007,"Value US$, 2015 prices",11181.578902
DZA,2007,"Share of Total US$, 2015 prices",8.548861
DZA,2007,"Annual growth US$, 2015 prices",2.5
DZA,2008,"Value US$, 2015 prices",10756.678904
DZA,2008,"Share of Total US$, 2015 prices",8.031254
DZA,2008,"Annual growth US$, 2015 prices",-3.8
DZA,2009,"Value US$, 2015 prices",13026.338152
DZA,2009,"Share of Total US$, 2015 prices",9.572686
DZA,2009,"Annual growth US$, 2015 prices",21.1
DZA,2010,"Value US$, 2015 prices",13664.628722
DZA,2010,"Share of Total US$, 2015 prices",9.692806
DZA,2010,"Annual growth US$, 2015 prices",4.9
DZA,2011,"Value US$, 2015 prices",15249.725654
DZA,2011,"Share of Total US$, 2015 prices",10.512314
DZA,2011,"Annual growth US$, 2015 prices",11.6
DZA,2012,"Value US$, 2015 prices",16347.705901
DZA,2012,"Share of Total US$, 2015 prices",10.898647
DZA,2012,"Annual growth US$, 2015 prices",7.2
DZA,2013,"Value US$, 2015 prices",17688.217785
DZA,2013,"Share of Total US$, 2015 prices",11.471144
DZA,2013,"Annual growth US$, 2015 prices",8.2
DZA,2014,"Value US$, 2015 prices",18130.423229
DZA,2014,"Share of Total US$, 2015 prices",11.327478
DZA,2014,"Annual growth US$, 2015 prices",2.5
DZA,2015,"Value US$, 2015 prices",19218.248623
DZA,2015,"Share of Total US$, 2015 prices",11.578715
DZA,2015,"Annual growth US$, 2015 prices",6.0
DZA,2016,"Value US$, 2015 prices",19564.177098
