country_iso,date,lat,lon,event,sub_event,fatalities
AGO,2013-02-04,-8.9773,13.7494,Strategic developments,Disrupted weapons use,0
AGO,2013-02-14,-8.8383,13.2344,Protests,Peaceful protest,0
AGO,2013-03-30,-8.8383,13.2344,Protests,Protest with intervention,0
AGO,2013-05-11,-12.25,15.3166,Violence against civilians,Attack,1
AGO,2013-05-27,-8.8383,13.2344,Protests,Excessive force against protesters,0
AGO,2013-06-15,-8.78,17.99,Protests,Protest with intervention,0
AGO,2013-08-09,-17.9941,20.8896,Strategic developments,Disrupted weapons use,0
AGO,2013-08-13,-12.65,22.5833,Explosions/Remote violence,Remote explosive/landmine/IED,1
AGO,2013-08-23,-8.8383,13.2344,Strategic developments,Agreement,0
AGO,2013-08-28,-8.78,17.99,Violence against civilians,Attack,1
AGO,2013-09-12,-8.78,17.99,Violence against civilians,Attack,1
AGO,2013-09-13,-8.78,17.99,Protests,Protest with intervention,0
AGO,2013-09-19,-8.8383,13.2344,Protests,Protest with intervention,0
AGO,2013-09-20,-8.8383,13.2344,Violence against civilians,Attack,0
AGO,2013-10-05,-8.8383,13.2344,Protests,Protest with intervention,0
AGO,2013-10-12,-8.8383,13.2344,Protests,Protest with intervention,0
AGO,2013-11-03,-8.8383,13.2344,Protests,Peaceful protest,0
AGO,2013-11-23,-8.8383,13.2344,Protests,Excessive force against protesters,1
AGO,2013-11-23,-8.8383,13.2344,Violence against civilians,Attack,1
AGO,2013-11-27,-8.8383,13.2344,Protests,Protest with intervention,0
AGO,2013-11-29,-8.8383,13.2344,Violence against civilians,Attack,0
AGO,2013-12-01,-5.5758,12.1871,Violence against civilians,Sexual violence,0
AGO,2014-02-26,-8.8383,13.2344,Protests,Peaceful protest,0
AGO,2014-03-25,-8.8383,13.2344,Strategic developments,Change to group/activity,0
AGO,2014-05-28,-8.8383,13.2344,Protests,Protest with intervention,0
AGO,2014-11-22,-8.8383,13.2344,Protests,Peaceful protest,0
AGO,2014-11-22,-8.8383,13.2344,Protests,Excessive force against protesters,0
AGO,2014-11-23,-8.8383,13.2344,Protests,Excessive force against protesters,0
